date,cpi_yoy,remittances,pkr_usd,cpi_yoy_diff,remittances_diff,pkr_usd_diff,remittances_diff2
2025-10-31,6.2,3419.61361,281.2675932,0.40000000000000036,7.135036546051943,-0.1348976836735183,5.681451864847276
2025-11-30,6.1,3188.337716,280.8729821,-0.10000000000000053,-7.0027876341642425,-0.14039590172174599,-14.137824180216185
2025-12-31,5.6,3592.442722,280.5409602,-0.5,11.933270625415382,-0.11828061745280394,18.936058259579625
2026-01-31,5.8,3464.468094,280.1535223,0.20000000000000018,-3.6273282439028165,-0.13819931308631794,-15.560598869318198
2026-02-28,7.0,3287.872847,279.8070073,1.2000000000000002,-5.231830802398818,-0.12376409618690687,-1.6045025584960015
2026-03-31,7.3,3831.405102,279.5112857,0.2999999999999998,15.299079866692544,-0.10574359224673202,20.530910669091362
2026-04-30,10.9,3537.025479,279.175974,3.6000000000000005,-7.994548951636382,-0.12003557784412422,-23.293628818328926
2026-05-31,11.7,4252.157161,278.8445378,0.7999999999999989,18.414030770199652,-0.11878998422663045,26.408579721836034
2026-06-30,11.1,3474.556764,278.5795536,-0.5999999999999996,-20.19595005082202,-0.09507454882147215,-38.60998082102167
2026-07-31,9.2,3631.044564,278.2380682,-1.9000000000000004,4.405344460634275,-0.12265611914665797,24.601294511456295
