"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Aug-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","167.706397","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Jul-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","166.762519","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Jun-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","165.103864","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-May-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","160.076694","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Apr-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","164.437274","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Mar-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","158.44718","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","29-Feb-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","154.263358","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Jan-2020","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","154.656144","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Dec-2019","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","154.920011","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Nov-2019","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","155.367457","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Oct-2019","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","155.949085","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","30-Sep-2019","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","156.176407","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Aug-2019","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","158.077024","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
"Bank Floating Average Exchange Rates  (PKR per National Currency)","31-Jul-2019","TS_GP_ER_FAERPKR_M.E00220","22 Average Exchange rate of Pak Rupees per U.S. Dollar","158.829694","PKR","Normal","","220","Average Exchange rate of Pak Rupees per U.S. Dollar"
